auxFraction,f1,precision,recall,targetFraction
0,0.707749766573296,0.707749766573296,0.707749766573296,0.6
0,0.6946778711484594,0.6946778711484594,0.6946778711484594,0.6
0,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6
0,0.713218122372723,0.713218122372723,0.713218122372723,0.6
0,0.7082166199813258,0.7082166199813259,0.7082166199813259,0.6
0,0.7110177404295052,0.7110177404295052,0.7110177404295052,0.6
0,0.6918767507002801,0.6918767507002801,0.6918767507002801,0.6
0,0.5704948646125116,0.5704948646125116,0.5704948646125116,0.6
0,0.7164876226062588,0.7164876226062588,0.7164876226062588,0.6
0,0.6932773109243697,0.6932773109243697,0.6932773109243697,0.6
0,0.7217553688141923,0.7217553688141923,0.7217553688141923,0.6
0,0.6900093370681606,0.6900093370681606,0.6900093370681606,0.6
